, ，
“ 「
” 」
‘ 『
’ 』
裏 裡
里 裡
哪里 哪裡
里面 裡面
這里 這裡
那里 那裡
公裡 公里
鄉裡 鄉里
多裡 多里
幾裡 幾里
數裡 數里
餘裡 餘里
半裡 半里
萬裡 萬里
千裡 千里
百裡 百里
十裡 十里
九裡 九里
八裡 八里
七裡 七里
六裡 六里
五裡 五里
四裡 四里
三裡 三里
二裡 二里
兩裡 兩里
一裡 一里
巴裡 巴里
裡德 里德
裡恩 里恩
裡昂 里昂
加裡 加里
嘴巴里 嘴巴裡
克裡夫 克里夫
帕裡斯 帕里斯
厄裡斯 厄里斯
坎帕裡 坎帕里
瓦列裡 瓦列里
裡陶 里陶
尼裡斯丘斯 尼里斯丘斯
安菲特裡忒 安菲特里忒
阿德裡安 阿德里安
加裡斯特 加里斯特
哈裡斯 哈里斯
霍拉裡奇 霍拉里奇
特裡斯坦 特里斯坦
克裡斯汀 克里斯汀
艾德裡克 艾德里克
卡特裡娜 卡特里娜
莫裡亞蒂 莫里亞蒂
馬裡亞納海溝 馬里亞納海溝
艾沙普裡拿島 艾沙普里拿島
奎裡納斯 奎里納斯
裡德爾 里德爾
裡奇曼 里奇曼
克裡斯 克里斯
裡波特 里波特
亞里斯 亞裡斯
馬德裡 馬德里
澤爾裡奇 澤爾里奇
製裁 制裁
制鑰人 製鑰人
制造 製造
網絡 網路
計划 計劃
丰富 豐富
舍 捨
農捨 農舍
瓦捨 瓦舍
竹捨 竹舍
劍捨 劍舍
捨妹 舍妹
木捨 木舍
退避三捨 退避三舍
魂不守捨 魂不守舍
雞捨 雞舍
捨利 舍利
旅捨 旅舍
寒捨 寒舍
宿捨 宿舍
薑聰 姜聰
這今 這個
美圓 美元
怀 懷
克星 剋星
別扭 彆扭
誌 志
標志 標誌
雜志 雜誌
郁 鬱
葯 藥
适 適
業已 也已
覺的 覺得
小醜 小丑
丑話 醜話
丑陋 醜陋
丑貨 醜貨
恐俱 恐懼
余 餘
癥 症
虫 蟲
挂 掛
丑 醜
蘿卜 蘿蔔
丰厚 豐厚
手表 手錶
禦書房 御書房
禦賜 御賜
禦姐 御姐
禦駕 御駕
臺風 颱風
惡心 噁心
茶幾 茶几
几 幾
扑 撲
靈混 靈魂
伱 你
嶽 岳
向往 嚮往
沖 衝
沖鋒 衝鋒
岑衝 岑沖
衝繩 沖繩
託大 托大
呆 待
待愣 呆愣
痴待 痴呆
癡待 癡呆
待傻 呆傻
待楞 呆愣
待住 呆住
待待 呆呆
驚待 驚呆
待立 呆立
待子 呆子
待滯 呆滯
發待 發呆
目瞪口待 目瞪口呆
待若木雞 呆若木雞
松 鬆
鬆傘 松傘
鬆鶴 松鶴
鬆阪 松阪
鬆樹 松樹
鬆鼠 松鼠
什? 什麼
這? 這麼
怎? 怎麼
那? 那麼
多? 多麼
干 幹
吃幹抹凈 吃乾抹凈
大動幹戈 大動干戈
一幹二凈 一乾二凈
幹乾淨凈 乾乾淨淨
幹乾淨凈 乾乾淨淨
幹柴烈火 乾柴烈火
外強中幹 外強中乾
幹巴巴 乾巴巴
何幹 何干
魚幹 魚乾
吸幹 吸乾
幹擾 干擾
風幹 風乾
洗幹 洗乾
